RS_number	rs904092	rs1789882	rs1693457	rs9307239	rs1789891	rs2173201	rs1614972	rs2241894	rs12639833	rs1789924	rs1826907
rs904092	1.0	1.0	0.96	0.475	0.545	0.5	0.555	0.5	0.5	0.409	0.35
rs1789882	1.0	1.0	1.0	0.51	0.529	0.483	0.539	0.483	0.483	0.388	0.369
rs1693457	0.96	1.0	1.0	0.475	0.503	0.5	0.555	0.5	0.5	0.344	0.35
rs9307239	0.475	0.51	0.475	1.0	0.492	1.0	1.0	1.0	1.0	0.319	0.34
rs1789891	0.545	0.529	0.503	0.492	1.0	1.0	1.0	1.0	1.0	1.0	0.64
rs2173201	0.5	0.483	0.5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
rs1614972	0.555	0.539	0.555	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
rs2241894	0.5	0.483	0.5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
rs12639833	0.5	0.483	0.5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
rs1789924	0.409	0.388	0.344	0.319	1.0	1.0	1.0	1.0	1.0	1.0	0.492
rs1826907	0.35	0.369	0.35	0.34	0.64	1.0	1.0	1.0	1.0	0.492	1.0
